Date of Offend,Off.age,Off.gender,Victim Gender,Victim Age,lat,long,Time_of_Day,Location_Type,Weather_Conditions,Month,Day of Week,Type of crime
2020-06-20 16:00:00.000000000,28.0,M,M,34.0,16.0,61.0,2.0,1.0,0.0,4.0,2.0,Robbery
2021-12-07 22:04:48.000000000,30.0,M,F,31.0,24.0,74.0,2.0,1.0,1.0,5.0,2.0,Murder
2021-04-28 22:09:38.823529472,29.0,M,M,30.0,19.0,75.0,2.0,1.0,1.0,7.0,2.0,Theft
2022-09-16 10:00:00.000000000,28.0,M,F,31.0,21.0,62.0,1.0,1.0,1.0,5.0,3.0,Other
2021-11-07 02:40:00.000000000,30.0,M,F,30.0,16.0,54.0,1.0,1.0,1.0,4.0,3.0,Sexual Harassment
2021-06-13 08:06:24.878048768,30.0,M,M,30.0,20.0,73.0,1.0,1.0,1.0,6.0,3.0,Kidnapping
