Date of Offend,Off.age,Off.gender,Victim Gender,Victim Age,lat,long,Month,Day of Week,Type of crime
2023-11-17 21:36:00.000000000,34.0,M,M,40.0,21.0,74.0,4.0,2.0,AI Crime
2023-06-17 05:03:09.473684224,33.0,M,M,49.0,19.0,74.0,6.0,3.0,AI Crime
2024-03-02 00:00:00.000000000,36.0,M,M,62.0,19.0,73.0,3.0,5.0,Drug-related Offense
2024-03-13 00:00:00.000000000,33.0,F,F,34.0,25.0,82.0,3.0,2.0,"['Crude Bomb Case', 'Arms Act Violation']"
2023-02-14 08:24:00.000000000,33.0,M,M,44.0,0.0,0.0,7.0,3.0,AI Crime
